#
"1 hour","1 hora"
"2 hours","2 horas"
"3 hours","3 horas"
"4 hours","4 horas"

# -- A

# -- B
"Bar Code","Código de barras"
"Voucher Link","Link do boleto"
"Voucher PDF","PDF do boleto"

# -- C
"Click here to open the Link","Imprimir boleto"
"Click here to open the PDF","Baixar PDF do boleto"
# -- D

# -- E

# -- H

# -- I

# -- L

# -- O

# -- P
"PayU - Boleto Settings","PayU - Boleto Bancário"
"PayU - PIX Settings","PayU - PIX"
"Payment Link","Link de Pagamento"

# -- S

# -- T

# -- V

# -- Y

# -- W
